number,lot,href,start_price
Торги № 117106-МЭТС,( лот 1 ),https://tbankrot.ru/item?id=5417155,12927905.59
Торги № 960000243370,( лот 3 ),https://tbankrot.ru/item?id=5417052,1166686367.26
Торги № 960000243370,( лот 1 ),https://tbankrot.ru/item?id=5417050,92388696.49
Торги № 960000243370,( лот 2 ),https://tbankrot.ru/item?id=5417047,1063227564.5
Торги № 960000243370,( лот 4 ),https://tbankrot.ru/item?id=5417044,378288299.92
Торги № 960000243371,( лот 1 ),https://tbankrot.ru/item?id=5417042,335398401.32
Торги № ОАОФЦП-28968,( лот 1 ),https://tbankrot.ru/item?id=5416582,179935239.4
Торги № 960000243352,( лот 2 ),https://tbankrot.ru/item?id=5416343,21002767.99
Торги № 960000243352,( лот 8 ),https://tbankrot.ru/item?id=5416341,14598216.89
Торги № 960000243352,( лот 9 ),https://tbankrot.ru/item?id=5416340,71737677.33
Торги № 960000243352,( лот 5 ),https://tbankrot.ru/item?id=5416337,20134819.05
Торги № 960000243341,( лот 1 ),https://tbankrot.ru/item?id=5416327,54228322.08
Торги № ПП-15251,( лот 1 ),https://tbankrot.ru/item?id=5416231,43475712.72
Торги № ОАОФЦП-96615,( лот 1 ),https://tbankrot.ru/item?id=5416116,10739819.33
Торги № ОАОФЦП-78798,( лот 1 ),https://tbankrot.ru/item?id=5415967,1587999392.24
Торги № 117036-МЭТС,( лот 1 ),https://tbankrot.ru/item?id=5415358,10271790.41
Торги № 10354-ОАОФ,( лот 1 ),https://tbankrot.ru/item?id=5415131,60000000.0
Торги № ПП-15197,( лот 7 ),https://tbankrot.ru/item?id=5415062,63692378.07
Торги № 117021-МЭТС,( лот 1 ),https://tbankrot.ru/item?id=5414973,407952355.81
Торги № 117021-МЭТС,( лот 2 ),https://tbankrot.ru/item?id=5414972,112837445.87
Торги № 117021-МЭТС,( лот 3 ),https://tbankrot.ru/item?id=5414971,235329098.38
Торги № 117021-МЭТС,( лот 4 ),https://tbankrot.ru/item?id=5414970,449703476.46
Торги № 117021-МЭТС,( лот 5 ),https://tbankrot.ru/item?id=5414969,10200854.61
Торги № ПП-15211,( лот 8 ),https://tbankrot.ru/item?id=5414958,98787129.34
Торги № 960000243321,( лот 2 ),https://tbankrot.ru/item?id=5414793,166528366.04
Торги № 960000243321,( лот 1 ),https://tbankrot.ru/item?id=5414792,238911304.67
Торги № 960000243322,( лот 3 ),https://tbankrot.ru/item?id=5414789,10094404.72
Торги № 960000243312,( лот 1 ),https://tbankrot.ru/item?id=5414668,39827578.4
Торги № 960000243306,( лот 24 ),https://tbankrot.ru/item?id=5414391,20748425.52
Торги № 960000243306,( лот 6 ),https://tbankrot.ru/item?id=5414370,17138714.71
Торги № 960000243306,( лот 8 ),https://tbankrot.ru/item?id=5414350,99841307.5
Торги № 173012,( лот 1 ),https://tbankrot.ru/item?id=5413835,59000000.0
Торги № 100000844,( лот 1 ),https://tbankrot.ru/item?id=5413210,25340175.0
Торги № 960000243202,( лот 2 ),https://tbankrot.ru/item?id=5413058,43756761.42
Торги № 960000243204,( лот 8 ),https://tbankrot.ru/item?id=5412922,22761612.0
Торги № 960000243204,( лот 3 ),https://tbankrot.ru/item?id=5412917,138840800.38
Торги № ОАОФЦП-78764,( лот 5 ),https://tbankrot.ru/item?id=5412794,52686899.39
Торги № ОАОФЦП-78764,( лот 4 ),https://tbankrot.ru/item?id=5412793,66591836.29
Торги № 960000243192,( лот 3 ),https://tbankrot.ru/item?id=5412498,49684324.69
Торги № 960000243192,( лот 2 ),https://tbankrot.ru/item?id=5412494,39359881.14
Торги № 960000243193,( лот 1 ),https://tbankrot.ru/item?id=5412469,1824809504.42
Торги № 960000243176,( лот 1 ),https://tbankrot.ru/item?id=5412137,14340100.73
Торги № 960000243178,( лот 9 ),https://tbankrot.ru/item?id=5412132,202701398.05
Торги № 960000243178,( лот 2 ),https://tbankrot.ru/item?id=5412130,89530248.34
Торги № 960000243179,( лот 2 ),https://tbankrot.ru/item?id=5412126,12494520.0
Торги № 960000243179,( лот 8 ),https://tbankrot.ru/item?id=5412125,10446310.85
Торги № 960000243179,( лот 7 ),https://tbankrot.ru/item?id=5412120,30898371.38
Торги № 960000243179,( лот 9 ),https://tbankrot.ru/item?id=5412107,47349750.79
Торги № 960000243180,( лот 5 ),https://tbankrot.ru/item?id=5412097,88332744.05
Торги № 960000243180,( лот 3 ),https://tbankrot.ru/item?id=5412095,144797805.11
Торги № 960000243180,( лот 4 ),https://tbankrot.ru/item?id=5412093,133105307.05
Торги № 960000243181,( лот 1 ),https://tbankrot.ru/item?id=5412092,68699922.73
Торги № 960000243183,( лот 1 ),https://tbankrot.ru/item?id=5412090,39563881.97
Торги № 960000243185,( лот 1 ),https://tbankrot.ru/item?id=5412087,674699105.78
Торги № 116941-МЭТС,( лот 2 ),https://tbankrot.ru/item?id=5412052,12707439.1
Торги № 116941-МЭТС,( лот 7 ),https://tbankrot.ru/item?id=5412047,33776919.98
Торги № 960000243159,( лот 7 ),https://tbankrot.ru/item?id=5411918,18144000.0
Торги № 960000243159,( лот 6 ),https://tbankrot.ru/item?id=5411917,51860127.01
Торги № 960000243159,( лот 4 ),https://tbankrot.ru/item?id=5411916,35809200.0
Торги № 960000243159,( лот 10 ),https://tbankrot.ru/item?id=5411915,13104000.0
Торги № 960000243159,( лот 5 ),https://tbankrot.ru/item?id=5411913,48303579.27
Торги № 960000243159,( лот 3 ),https://tbankrot.ru/item?id=5411911,68400000.0
